Company Name,Location,Description,Batch,Context,YC URL,Contact Source
Duckie,"San Francisco, CA, USA",Build AI Support Agents in Minutes,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/duckie,https://www.ycombinator.com/companies/duckie - Check company website for contact info
Happenstance,Remote,People search powered by AI,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/happenstance,https://www.ycombinator.com/companies/happenstance - Check company website for contact info
Ubicloud,,Open source alternative to AWS,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/ubicloud,https://www.ycombinator.com/companies/ubicloud - Check company website for contact info
Greptile,"San Francisco, CA, USA",AI code review agent with complete context of your codebase,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/greptile,https://www.ycombinator.com/companies/greptile - Check company website for contact info
Cora,"San Francisco, CA, USA",,Winter 2024,YC Winter 2024 startup - Startup that needs fast indexing for their website pages,https://www.ycombinator.com/companies/cora,https://www.ycombinator.com/companies/cora - Check company website for contact info
ego,"San Francisco, CA, USA","Character AI + Roblox :persistent, sapient AI characters in 3D worlds",Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/ego,https://www.ycombinator.com/companies/ego - Check company website for contact info
Legora,"Stockholm, Stockholm County, Sweden",The AI workspace for lawyers,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/legora,https://www.ycombinator.com/companies/legora - Check company website for contact info
Scritch,"San Francisco, CA, USA",AI operating system for veterinary care,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/scritch,https://www.ycombinator.com/companies/scritch - Check company website for contact info
Relari,"San Francisco, CA, USA",AI Agent Builder for Software 3.0,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/relari,https://www.ycombinator.com/companies/relari - Check company website for contact info
DryMerge,"San Francisco, CA, USA",AI that updates your CRM for you,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/drymerge,https://www.ycombinator.com/companies/drymerge - Check company website for contact info
Navier AI,"San Francisco, CA, USA",Agent-Driven Engineering,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/navier-ai,https://www.ycombinator.com/companies/navier-ai - Check company website for contact info
Upsolve AI,,Embed GenBI in Your SaaS App,Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/upsolve-ai,https://www.ycombinator.com/companies/upsolve-ai - Check company website for contact info
Event Horizon Labs,"San Francisco, CA, USA",AI-native hedge fund using agents to automate quant research—at scale,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/event-horizon-labs,https://www.ycombinator.com/companies/event-horizon-labs - Check company website for contact info
Gumloop,"San Francisco, CA, USA",A no-code platform for creating agents and automating workflows with…,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/gumloop,https://www.ycombinator.com/companies/gumloop - Check company website for contact info
Driver,"Austin, TX, USA",Context for Codebases,Winter 2024,YC Winter 2024 startup - Developer tool that needs API/docs pages indexed for developer discovery,https://www.ycombinator.com/companies/driver,https://www.ycombinator.com/companies/driver - Check company website for contact info
Onyx,"San Francisco, CA, USA",,Winter 2024,YC Winter 2024 startup - Startup that needs fast indexing for their website pages,https://www.ycombinator.com/companies/onyx,https://www.ycombinator.com/companies/onyx - Check company website for contact info
jo,"Menlo Park, CA, USA",A new personal AI that actually knows you.,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/jo,https://www.ycombinator.com/companies/jo - Check company website for contact info
Yenmo,"Bengaluru, KA, India",Secured consumer lending in India,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/yenmo,https://www.ycombinator.com/companies/yenmo - Check company website for contact info
GovernGPT,"Montreal, QC, Canada",The RFP Platform Asset Managers Adopt,Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/governgpt,https://www.ycombinator.com/companies/governgpt - Check company website for contact info
Arcane,"New York, NY, USA",,Winter 2024,YC Winter 2024 startup - Startup that needs fast indexing for their website pages,https://www.ycombinator.com/companies/arcane,https://www.ycombinator.com/companies/arcane - Check company website for contact info
Trieve,"San Francisco, CA, USA","All-in-one API for search, RAG, & recommendations",Winter 2024,YC Winter 2024 startup - Developer tool that needs API/docs pages indexed for developer discovery,https://www.ycombinator.com/companies/trieve,https://www.ycombinator.com/companies/trieve - Check company website for contact info
Resonance,"San Francisco, CA, USA",Self-improving content bank for marketing,Winter 2024,YC Winter 2024 startup - Content platform that needs media pages indexed for creators,https://www.ycombinator.com/companies/resonance,https://www.ycombinator.com/companies/resonance - Check company website for contact info
Speck,"San Francisco, CA, USA",AI Notetaker that automates all your admin work,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/speck,https://www.ycombinator.com/companies/speck - Check company website for contact info
StarJar,,Starjar automates inbound document processing workflows for hospitals,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/starjar,https://www.ycombinator.com/companies/starjar - Check company website for contact info
Verse Therapy,"San Francisco, CA, USA",Connecting All Ages with Speech Language Pathologists,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/verse-therapy,https://www.ycombinator.com/companies/verse-therapy - Check company website for contact info
Lumona,"Cambridge, MA, USA",AI-enabled search engine featuring insights from social media.,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/lumona,https://www.ycombinator.com/companies/lumona - Check company website for contact info
Fileforge,"San Francisco, CA, USA",API For PDF Document Workflows,Winter 2024,YC Winter 2024 startup - Developer tool that needs API/docs pages indexed for developer discovery,https://www.ycombinator.com/companies/fileforge,https://www.ycombinator.com/companies/fileforge - Check company website for contact info
BiteSight,"New York, NY, USA",The video-first food delivery app. Imagine TikTok meets DoorDash.,Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/bitesight,https://www.ycombinator.com/companies/bitesight - Check company website for contact info
Thorntale,"San Francisco, CA, USA","The world's best presentation editor, powered by AI.",Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/thorntale,https://www.ycombinator.com/companies/thorntale - Check company website for contact info
Abel,"San Francisco, CA, USA",Transforming document review for litigation teams,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/abel,https://www.ycombinator.com/companies/abel - Check company website for contact info
Wuri,,"App to read fiction stories as visual novels with images, videos,…",Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/wuri,https://www.ycombinator.com/companies/wuri - Check company website for contact info
Aedilic,"San Francisco, CA, USA",Open-Source AI-generated image/deepfake detection,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/aedilic,https://www.ycombinator.com/companies/aedilic - Check company website for contact info
crmCopilot,"San Francisco, CA, USA",Give Salesforce the AI upgrade it deserves,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/crmcopilot,https://www.ycombinator.com/companies/crmcopilot - Check company website for contact info
Toolify,"Bengaluru, KA, India",Build internal tools with AI,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/toolify,https://www.ycombinator.com/companies/toolify - Check company website for contact info
Glimmer,"San Francisco, CA, USA",AI search for massive PDFs,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/glimmer,https://www.ycombinator.com/companies/glimmer - Check company website for contact info
Celest,"San Francisco, CA, USA",The Vercel of Flutter,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/celest,https://www.ycombinator.com/companies/celest - Check company website for contact info
Selera Medical,"Mountain View, CA, USA","One-time, device-based treatment for heart failure",Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/selera-medical,https://www.ycombinator.com/companies/selera-medical - Check company website for contact info
Engines,"San Francisco, CA, USA",Setup any repo with one command,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/engines,https://www.ycombinator.com/companies/engines - Check company website for contact info
Blume Benefits,"San Francisco, CA, USA",The AI copilot for health insurance brokers.,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/blume-benefits,https://www.ycombinator.com/companies/blume-benefits - Check company website for contact info
Patchwork,"San Francisco, CA, USA",Your team’s AI powered communication tool,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/patchwork,https://www.ycombinator.com/companies/patchwork - Check company website for contact info
DGI Apparel,"New York, NY, USA",Expedia for ordering blank apparel,Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/dgi-apparel,https://www.ycombinator.com/companies/dgi-apparel - Check company website for contact info
Mango Health,,,Winter 2024,YC Winter 2024 startup - Startup that needs fast indexing for their website pages,https://www.ycombinator.com/companies/mango-health,https://www.ycombinator.com/companies/mango-health - Check company website for contact info
Quary,"London, England, United Kingdom",The first in-browser analytics engineering platform,Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/quary,https://www.ycombinator.com/companies/quary - Check company website for contact info
-,,"Stitch TechnologiesLondon, England, United Kingdom",Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/stitch-technologies,https://www.ycombinator.com/companies/stitch-technologies - Check company website for contact info
RadMate AI,"San Francisco, CA, USA",Copilot for radiologists,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/radmate-ai,https://www.ycombinator.com/companies/radmate-ai - Check company website for contact info
Tesseral,"San Francisco, CA, USA",The open source platform for managing identity in business software,Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/tesseral,https://www.ycombinator.com/companies/tesseral - Check company website for contact info
Lantern,"San Francisco, CA, USA",Postgres vector database extension to build AI applications,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/lantern-2,https://www.ycombinator.com/companies/lantern-2 - Check company website for contact info
Outerport,"San Francisco, CA, USA","Turn diagrams, technical documents, and CAD into structured data",Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/outerport,https://www.ycombinator.com/companies/outerport - Check company website for contact info
DreamRP,"San Francisco, CA, USA",Tech and platforms for human creators and the entertainment industry,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/dreamrp,https://www.ycombinator.com/companies/dreamrp - Check company website for contact info
Conductor,"San Francisco, CA, USA",Run a team of coding agents on your Mac,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/conductor,https://www.ycombinator.com/companies/conductor - Check company website for contact info
Syntra,"San Francisco, CA, USA",Medical data analytics for private practices.,Summer 2024,YC Summer 2024 startup - Healthcare startup that needs their platform pages indexed for providers/patients,https://www.ycombinator.com/companies/syntra,https://www.ycombinator.com/companies/syntra - Check company website for contact info
PathPilot,"San Jose, CA, USA",AI Agents for Lending Operations,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/pathpilot,https://www.ycombinator.com/companies/pathpilot - Check company website for contact info
Bits to Atoms,,Match job seekers to roles at deep technology startups.,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/bits-to-atoms,https://www.ycombinator.com/companies/bits-to-atoms - Check company website for contact info
Midship,,,Summer 2024,YC Summer 2024 startup - Startup that needs fast indexing for their website pages,https://www.ycombinator.com/companies/midship,https://www.ycombinator.com/companies/midship - Check company website for contact info
SimCare,"San Francisco, CA, USA",AI avatars to scale healthcare training.,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/simcare,https://www.ycombinator.com/companies/simcare - Check company website for contact info
Merlin AI,"Los Angeles, CA, USA",AI powered ERP for Construction,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/merlin-ai,https://www.ycombinator.com/companies/merlin-ai - Check company website for contact info
Freestyle,"San Francisco, CA, USA",We run and deploy code your AI wrote,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/freestyle,https://www.ycombinator.com/companies/freestyle - Check company website for contact info
Arva AI,,"AI Agents to scale AML, KYB and KYC operations",Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/arva-ai,https://www.ycombinator.com/companies/arva-ai - Check company website for contact info
Affil.ai,"San Francisco, CA, USA",AI Affiliate Network For Financial Companies,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/affil-ai,https://www.ycombinator.com/companies/affil-ai - Check company website for contact info
OrgOrg,"Los Altos, CA, USA",Organizational productivity suite for companies,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/orgorg,https://www.ycombinator.com/companies/orgorg - Check company website for contact info
Patched,,Agentic workflows for Enterprise IT and Ops teams,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/patched,https://www.ycombinator.com/companies/patched - Check company website for contact info
Village Labs,"New York, NY, USA",Helping America's businesses become employee owned,Summer 2024,YC Summer 2024 startup - B2B platform that needs service pages indexed for enterprise clients,https://www.ycombinator.com/companies/village-labs,https://www.ycombinator.com/companies/village-labs - Check company website for contact info
Mica AI,"San Francisco, CA, USA",Replace the humans fixing bad data,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/mica-ai,https://www.ycombinator.com/companies/mica-ai - Check company website for contact info
Formula Insight,"New York, NY, USA","Help Institutional Investors manage, track & query their Excel models",Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/formula-insight,https://www.ycombinator.com/companies/formula-insight - Check company website for contact info
Overlap,"San Francisco, CA, USA",Multimodal AI agents for video,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/overlap,https://www.ycombinator.com/companies/overlap - Check company website for contact info
Capitol AI,"Washington, DC, USA",Capitol: the sovereign operating system for intelligence.,Summer 2024,YC Summer 2024 startup - Developer tool that needs API/docs pages indexed for developer discovery,https://www.ycombinator.com/companies/capitol-ai,https://www.ycombinator.com/companies/capitol-ai - Check company website for contact info
Void,"San Francisco, CA, USA",The open source Cursor alternative,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/void,https://www.ycombinator.com/companies/void - Check company website for contact info
Anglera,"San Francisco, CA, USA",AI-Powered Product Data Enrichment,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/anglera,https://www.ycombinator.com/companies/anglera - Check company website for contact info
XTraffic,,Technology for cities to automate and manage their traffic lights.,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/xtraffic,https://www.ycombinator.com/companies/xtraffic - Check company website for contact info
BrowserOS,"San Francisco, CA, USA",The Open Source Agentic Browser,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/browseros,https://www.ycombinator.com/companies/browseros - Check company website for contact info
Henry,"New York, NY, USA",Automating Deal Decks for Commercial Real Estate Brokers,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/henry-2,https://www.ycombinator.com/companies/henry-2 - Check company website for contact info
Ficra,"San Francisco, CA, USA","Real time, source of truth for every product screen and user flow",Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/ficra,https://www.ycombinator.com/companies/ficra - Check company website for contact info
RowBoat Labs,"San Francisco, CA, USA",Open-source AI-assisted agent builder,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/rowboat-labs,https://www.ycombinator.com/companies/rowboat-labs - Check company website for contact info
Pipeshift,"San Francisco, CA, USA",Inference for real-time production workloads,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/pipeshift,https://www.ycombinator.com/companies/pipeshift - Check company website for contact info
Vera Health,"San Francisco, CA, USA",AI-powered clinical decision support for healthcare providers,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/vera-health,https://www.ycombinator.com/companies/vera-health - Check company website for contact info
Pharos,"San Francisco, CA, USA",Helping hospitals identify and prevent avoidable harm using AI,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/pharos,https://www.ycombinator.com/companies/pharos - Check company website for contact info
et al,".San Francisco, CA, USA",Feed of insights extracted from your go-to sources using LLMs.,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/et-al,https://www.ycombinator.com/companies/et-al - Check company website for contact info
Keet,,Authentication for AI Agents,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/keet,https://www.ycombinator.com/companies/keet - Check company website for contact info
Terra,,Design and sell products in minutes,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/terra-2,https://www.ycombinator.com/companies/terra-2 - Check company website for contact info
Dayflow,"San Francisco, CA, USA","Generate a detailed log of everything you've worked on, automatically.",Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/dayflow,https://www.ycombinator.com/companies/dayflow - Check company website for contact info
"Diode Computers, Inc.","New York, NY, USA",Automate circuit board design using AI,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/diode-computers-inc,https://www.ycombinator.com/companies/diode-computers-inc - Check company website for contact info
SureBright,Remote,Apple Care-like warranty program for every retailer,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/surebright,https://www.ycombinator.com/companies/surebright - Check company website for contact info
Usul,"San Francisco, CA, USA",AI Platform for Winning Defense & Government Contracts,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/usul,https://www.ycombinator.com/companies/usul - Check company website for contact info
Saldor,"San Francisco, CA, USA",,Summer 2024,YC Summer 2024 startup - Startup that needs fast indexing for their website pages,https://www.ycombinator.com/companies/saldor,https://www.ycombinator.com/companies/saldor - Check company website for contact info
Bucket Robotics,,Defect detection for manufacturing built from CAD and synthetic data.,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/bucket-robotics,https://www.ycombinator.com/companies/bucket-robotics - Check company website for contact info
Oway,"San Francisco, CA, USA",AI Infrastructure for America’s Empty Truck Space,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/oway,https://www.ycombinator.com/companies/oway - Check company website for contact info
Elayne,"New York, NY, USA","AI copilot for growing, organizing, and transferring family estates",Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/elayne,https://www.ycombinator.com/companies/elayne - Check company website for contact info
"BlazeMexico City, CDMX, Mexico",,Global Venmo for cross border payments,Summer 2024,YC Summer 2024 startup - Fintech startup that needs service pages indexed for customer acquisition,https://www.ycombinator.com/companies/blaze-2,https://www.ycombinator.com/companies/blaze-2 - Check company website for contact info
pap,"!Berkeley, CA, USA","Agents that earn consumers dollars when they shop, travel, and live.",Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/pap,https://www.ycombinator.com/companies/pap - Check company website for contact info
RentFlow,"San Francisco, CA, USA",The first 'Buy Now Pay Later' solution for Commercial Rent,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/rentflow,https://www.ycombinator.com/companies/rentflow - Check company website for contact info
TradeFlow,"New York, NY, USA",AI-powered settlement for financial securities,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/tradeflow,https://www.ycombinator.com/companies/tradeflow - Check company website for contact info
Voker,"Los Angeles, CA, USA",The Agent Analytics Platform,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/voker,https://www.ycombinator.com/companies/voker - Check company website for contact info
Rastro,"San Francisco, CA, USA",The fastest way for retailers to launch product catalogs.,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/rastro,https://www.ycombinator.com/companies/rastro - Check company website for contact info
Quetzal,"Oakland, CA, USA","Simple, LLM-first translation and internationalization for software",Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/quetzal,https://www.ycombinator.com/companies/quetzal - Check company website for contact info
Typa,"San Francisco, CA, USA",The content engine that wins attention and drives growth.,Summer 2024,YC Summer 2024 startup - Content platform that needs media pages indexed for creators,https://www.ycombinator.com/companies/typa,https://www.ycombinator.com/companies/typa - Check company website for contact info
Moreta,"San Francisco, CA, USA",Payments made easy for international travelers.,Summer 2024,YC Summer 2024 startup - Fintech startup that needs service pages indexed for customer acquisition,https://www.ycombinator.com/companies/moreta,https://www.ycombinator.com/companies/moreta - Check company website for contact info
"Sterling Labs, Inc","San Francisco, CA, USA",Currently in stealth - previously FocusBuddy,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/sterling-labs-inc,https://www.ycombinator.com/companies/sterling-labs-inc - Check company website for contact info
Orca,"San Francisco, CA, USA",Make Minecraft mods and servers in your browser with AI,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/orcaengine,https://www.ycombinator.com/companies/orcaengine - Check company website for contact info
Assembly HOA,"San Francisco, CA, USA",AI-native HOA Management Company,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/assembly-hoa,https://www.ycombinator.com/companies/assembly-hoa - Check company website for contact info
autarc,"Berlin, Berlin, Germany",autarc is the OS for Europe's One-Stop Energy Installers,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/autarc,https://www.ycombinator.com/companies/autarc - Check company website for contact info
omnidock,,OS for global e-commerce expansion of brands & manufacturers,Summer 2024,YC Summer 2024 startup - E-commerce startup that needs product pages indexed for sales,https://www.ycombinator.com/companies/omnidock,https://www.ycombinator.com/companies/omnidock - Check company website for contact info
Polymet,,,Summer 2024,YC Summer 2024 startup - Startup that needs fast indexing for their website pages,https://www.ycombinator.com/companies/polymet,https://www.ycombinator.com/companies/polymet - Check company website for contact info
Kontigo,,USDC-Smart Neobank for Latinos.,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/kontigo,https://www.ycombinator.com/companies/kontigo - Check company website for contact info
Weel,"New York, NY, USA",GPS & dashcam smartphone app,Summer 2024,YC Summer 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/weel,https://www.ycombinator.com/companies/weel - Check company website for contact info
Entropy,"San Francisco, CA, USA",Autonomous intake and RCM for specialty clinics.,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/entropy,https://www.ycombinator.com/companies/entropy - Check company website for contact info
Propaya,"San Francisco, CA, USA",AI commercial lease abstractions and review,Summer 2024,YC Summer 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/propaya,https://www.ycombinator.com/companies/propaya - Check company website for contact info
Vendra,"San Francisco, CA, USA","Custom Parts, Manufactured in America 🇺🇸",Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/vendra,https://www.ycombinator.com/companies/vendra - Check company website for contact info
Argil,"Paris, Île-de-France, France",The video generation engine for the creator economy,Summer 2024,YC Summer 2024 startup - Content platform that needs media pages indexed for creators,https://www.ycombinator.com/companies/argil,https://www.ycombinator.com/companies/argil - Check company website for contact info
ZeroPath,"San Francisco, CA, USA",Automatically find and fix your software vulnerabilities,Summer 2024,YC Summer 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/zeropath,https://www.ycombinator.com/companies/zeropath - Check company website for contact info
bluedoor,"Seattle, WA, USA",Professional-grade stock research in your terminal.,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/bluedoor,https://www.ycombinator.com/companies/bluedoor - Check company website for contact info
Starcloud,"Redmond, WA, USA",Data centers in space,Summer 2024,YC Summer 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/starcloud,https://www.ycombinator.com/companies/starcloud - Check company website for contact info
Dataleap,"San Francisco, CA, USA",The world's first vibe working platform,Summer 2024,YC Summer 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/dataleap,https://www.ycombinator.com/companies/dataleap - Check company website for contact info
